id,name,team,minutes_average,passes_accuracy,take_ons_accuracy,challenges_accuracy,tackles_accuracy,shots_accuracy,saves_accuracy,external_id,matches_played,starts,minutes,progressive_carries,progressive_passes,progressive_passes_received,touches,carries,miscontrols,dispossessed,passes_completed,passes_attempted,take_ons_attempted,successful_take_ons,tackles,tackles_won,blocks,shots_blocked,passes_blocked,interceptions,clearances,recoveries,dribblers_challenged,challenges_lost,errors,shot_creating_actions,goal_creating_actions,shots_total,shots_on_target,expected_goals,expected_assists,key_passes,carries_into_final_third,offsides,gk_shots_on_target_against,gk_saves
31,Emiliano Buendía Stati,Aston Villa,23.36,78.34,53.85,63.16,85.71,58.82,0,66b76d44,11,3,257,0.05,0.33,0.57,4.71,2.57,0.24,0.19,2.93,3.74,0.26,0.14,0.14,0.12,0.14,0,0.14,0,0,0.48,0.19,0.07,0,0.29,0.02,0.17,0.1,0.02,0.01,0.14,0.07,0,0,0
32,Matty Cash,Aston Villa,76.67,77.46,47.29,71.94,56.91,45.24,0,2389cdc2,27,24,"2,070",1.55,1.35,2.9,38.26,19.19,0.65,0.32,23.61,30.48,1.29,0.61,1.81,1.03,0.71,0.26,0.45,0.74,2.26,2.61,1.39,0.39,0.06,0.81,0.13,0.42,0.19,0.02,0.04,0.32,1.23,0.03,0,0
35,Diego Carlos Santos Silva,Aston Villa,45.25,0,0,0,0,0,0,b4a014b1,4,3,181,0,0,0,0,0,0,0,0,0,0,0,0,0.43,0,0,0,0.43,0,0,0,0,0,0,0,0.29,0,0,0,0,0,0,0,0
36,Lucas Digne,Aston Villa,73.47,74.86,46.94,66.86,58.08,24.24,0,1b84dbe1,32,28,"2,351",0.59,1.46,3.64,39.15,17.51,0.44,0.41,24.51,32.74,0.49,0.23,1.67,0.97,0.59,0.1,0.49,0.64,2.28,2.67,1.69,0.56,0.03,1.69,0.13,0.33,0.08,0.02,0.1,0.92,0.36,0.18,0,0
38,Jhon Durán,Aston Villa,84.08,0,0,0,0,43.11,0,414184f7,13,12,"1,093",0,0,0,0,0,0,0,0,0,0,0,0,0.46,0,0,0,0.15,0,0,0,0,0,0,0,3.92,1.69,0,0,0,0,0.62,0,0
42,Boubacar Kamara,Aston Villa,45,0,0,0,0,0,0,cc77354e,1,1,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,Ezri Konsa Ngoyo,Aston Villa,86.35,92.95,45.1,80.28,52.58,45.16,0,0313a347,34,33,"2,936",0.69,2.57,0.31,54.71,32.34,0.49,0.29,44.43,47.8,0.51,0.23,0.97,0.51,0.57,0.31,0.26,0.69,3.26,2.77,0.71,0.14,0.11,0.69,0.09,0.31,0.14,0.04,0.02,0.17,0.43,0.03,0,0
45,Ian Maatsen,Aston Villa,39.28,81.54,45.45,69.44,59.09,27.59,0,cab9634e,29,10,"1,139",0.47,0.76,1.58,13.89,7.65,0.33,0.38,9.23,11.32,0.44,0.2,0.44,0.26,0.2,0,0.2,0.23,0.59,1.02,0.36,0.11,0.05,0.79,0.11,0.29,0.08,0.01,0.04,0.29,0.26,0.05,0,0
47,Emiliano Martínez Romero,Aston Villa,86.32,78.66,100,100,100,0,67.65,7956236f,37,37,"3,194",0,0.11,0,38.13,23.39,0.03,0,28.71,36.5,0.03,0.03,0.08,0.08,0.03,0,0.03,0,0.45,0.89,0.05,0,0.16,0.16,0.03,0,0,0,0,0.05,0,0,3.74,2.53
48,John McGinn,Aston Villa,65.38,81.85,42.16,41.79,72.22,16.42,0,90f91999,34,27,"2,223",0.7,2.24,1.89,23.3,12.63,0.8,0.63,15.2,18.57,1.02,0.43,0.72,0.52,0.48,0.04,0.43,0.3,0.39,2.17,0.67,0.39,0.07,1.65,0.17,0.67,0.11,0.07,0.06,0.67,0.37,0.07,0,0
49,Tyrone Mings,Aston Villa,45,0,0,0,0,0,0,8397a50c,1,1,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,Kosta Nedeljković,Aston Villa,47.9,81.54,27.27,60.71,72.13,0,0,c70be9cf,10,6,479,0.56,0.89,1.5,15.72,6.67,0.22,0.06,10.78,13.22,0.22,0.06,0.61,0.44,0.33,0.22,0.11,0.11,0.78,0.61,0.56,0.22,0,0.33,0,0.22,0,0.03,0.03,0.17,0.39,0.06,0,0
51,Robin Olsen,Aston Villa,90,0,0,0,0,0,72.75,e7ee38c3,3,3,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.67,2.67
52,Pau Torres,Aston Villa,84.17,88.9,88.24,58.82,71.43,25,0,532e1e4f,24,23,"2,020",1.6,3.88,0.32,60.72,38.6,0.24,0.2,48.68,54.76,0.68,0.6,0.84,0.6,0.64,0.44,0.2,0.4,3,2.48,0.68,0.28,0.08,0.56,0.08,0.32,0.08,0.02,0.02,0.12,1.08,0,0,0
53,Jacob Ramsey,Aston Villa,55.97,84.77,54,48.84,50.77,21.95,0,1544f145,29,19,1623,1.33,1.48,2.48,16.57,10.78,0.91,0.5,10.8,12.74,1,0.54,0.65,0.33,0.5,0.09,0.41,0.17,0.17,1.8,0.43,0.22,0.02,1.11,0.17,0.41,0.09,0.03,0.05,0.46,0.67,0.11,0,0
54,Morgan Rogers,Aston Villa,84.16,73.22,41.22,51.24,50.91,36.17,0,2e5915f1,37,37,"3,114",2.92,3.15,4.82,34.92,20.36,2.92,1.9,17.03,23.26,4.1,1.69,1.1,0.56,0.67,0.18,0.49,0.15,0.51,3.05,1.21,0.59,0.05,2.69,0.41,1.41,0.51,0.17,0.13,1.31,1.74,0.05,0,0
57,Youri Tielemans,Aston Villa,84.06,82.19,50.93,54.69,69.23,30.48,0,56f7a928,36,35,"3,026",1.03,6.18,1.26,62.76,33.89,0.82,0.76,44.58,54.24,1.61,0.82,2.21,1.53,1,0.42,0.58,0.61,1.24,3.82,1.92,0.87,0.11,3.21,0.32,1.05,0.32,0.09,0.15,1.58,0.68,0,0,0
58,Ollie Watkins,Aston Villa,68.37,72.41,24.39,27.27,70,43.9,0,aed3a70f,38,31,"2,598",1.1,0.62,3.3,13.9,8.18,1.2,1,6.14,8.48,0.82,0.2,0.2,0.14,0.22,0.06,0.16,0.16,0.3,0.86,0.22,0.16,0.04,1.06,0.24,1.64,0.72,0.31,0.04,0.48,0.42,0.32,0,0
